timestamp,open,high,low,close,volume
2025-01-14 20:00:00,96548.94,96604.92,96161.82,96455.35,1053.18
2025-01-14 20:15:00,96455.35,96927.35,96455.35,96907.41,627.6
2025-01-14 20:30:00,96907.41,96913.5,96375.45,96587.62,539.48
2025-01-14 20:45:00,96587.62,96729.44,96364.64,96517.9,768.41
2025-01-14 21:00:00,96517.9,96683.7,96459.5,96577.49,471.04
2025-01-14 21:15:00,96577.49,96667.63,96526.71,96526.71,246.1
2025-01-14 21:30:00,96526.71,96526.71,96324.88,96453.5,248.45
2025-01-14 21:45:00,96453.5,96495.59,96361.47,96495.59,201.2
2025-01-14 22:00:00,96495.59,96605.19,96459.5,96534.3,179.86
2025-01-14 22:15:00,96534.3,96658.75,96492.88,96648.43,126.61
2025-01-14 22:30:00,96648.43,96708.07,96545.39,96649.5,280.26
2025-01-14 22:45:00,96649.5,96746.79,96591.17,96701.41,249.77
2025-01-14 23:00:00,96701.41,96783.52,96579.24,96591.49,275.42
2025-01-14 23:15:00,96591.49,96681.5,96522.18,96526.22,138.34
2025-01-14 23:30:00,96526.22,96728.15,96509.99,96693.51,149.23
2025-01-14 23:45:00,96693.51,96722.44,96541.14,96559.21,192.19
2025-01-15 00:00:00,96559.21,96874.11,96510.7,96858.61,437.59
2025-01-15 00:15:00,96858.61,97273.36,96775.71,97209.51,445.06
2025-01-15 00:30:00,97209.51,97341.38,96814.5,96864.26,555.87
2025-01-15 00:45:00,96864.26,97001.41,96775.52,96899.62,344.08
2025-01-15 01:00:00,96899.62,97215.48,96798.88,97016.38,472.72
2025-01-15 01:15:00,97016.38,97209.48,96862.46,97111.78,294.71
2025-01-15 01:30:00,97111.78,97446.49,97002.85,97288.81,563.26
2025-01-15 01:45:00,97288.81,97561.65,97051.86,97359.11,638.31
2025-01-15 02:00:00,97359.11,97474.3,97115.53,97181.5,730.46
2025-01-15 02:15:00,97181.5,97181.5,96953.46,96953.46,385.52
2025-01-15 02:30:00,96953.46,96988.82,96756.21,96909.52,499.07
2025-01-15 02:45:00,96909.52,97063.34,96833.57,96833.57,305.67
2025-01-15 03:00:00,96833.57,97226.11,96833.56,97074.11,457.06
2025-01-15 03:15:00,97074.11,97162.41,96760.97,96935.93,346.12
2025-01-15 03:30:00,96935.93,97186.43,96926.98,97083.91,275.79
2025-01-15 03:45:00,97083.91,97325.3,97024.44,97325.29,310.61
2025-01-15 04:00:00,97325.29,97734.45,97259.86,97296.81,751.92
2025-01-15 04:15:00,97296.81,97431.26,97082.23,97270.45,490.86
2025-01-15 04:30:00,97270.45,97376.35,97176.5,97230.84,330.29
2025-01-15 04:45:00,97230.84,97258.94,97162.36,97199.21,207.73
2025-01-15 05:00:00,97199.21,97244.27,96827.58,96871.27,318.08
2025-01-15 05:15:00,96871.27,97005.54,96759.51,96982.81,277.55
2025-01-15 05:30:00,96982.81,97022.72,96895.11,96988.84,182.48
2025-01-15 05:45:00,96988.84,97087.22,96988.84,97030.24,131.01
2025-01-15 06:00:00,97030.24,97109.5,96911.81,96911.81,223.14
2025-01-15 06:15:00,96911.81,97049.8,96869.5,96869.5,259.73
2025-01-15 06:30:00,96869.5,97020.6,96861.0,96978.58,144.78
2025-01-15 06:45:00,96978.58,97157.44,96978.58,97112.76,221.02
2025-01-15 07:00:00,97112.76,97253.51,97112.76,97170.36,191.73
2025-01-15 07:15:00,97170.36,97569.71,97170.36,97549.07,311.98
2025-01-15 07:30:00,97549.07,97599.94,97259.5,97259.5,268.15
2025-01-15 07:45:00,97259.5,97345.64,97182.82,97310.86,285.32
2025-01-15 08:00:00,97310.86,97463.03,97238.54,97351.93,338.12
2025-01-15 08:15:00,97351.93,97492.07,97162.98,97492.06,293.12
2025-01-15 08:30:00,97492.06,97533.49,97353.46,97391.2,298.58
2025-01-15 08:45:00,97391.2,97391.2,97194.11,97211.76,186.97
2025-01-15 09:00:00,97211.76,97367.78,97168.08,97334.5,249.39
2025-01-15 09:15:00,97334.5,97359.23,96909.5,96909.5,257.87
2025-01-15 09:30:00,96909.5,97063.72,96898.64,97063.72,355.23
2025-01-15 09:45:00,97063.72,97063.72,96776.07,96828.96,337.15
2025-01-15 10:00:00,96828.96,97013.06,96730.9,96910.16,388.91
2025-01-15 10:15:00,96910.16,97107.78,96851.6,97081.51,197.52
2025-01-15 10:30:00,97081.51,97140.67,96990.63,97015.04,150.18
2025-01-15 10:45:00,97015.04,97059.3,96898.64,96943.08,87.38
2025-01-15 11:00:00,96943.08,96943.08,96697.36,96801.3,215.58
2025-01-15 11:15:00,96801.3,96807.23,96530.5,96647.44,296.58
2025-01-15 11:30:00,96647.44,96744.8,96561.5,96700.91,253.57
2025-01-15 11:45:00,96700.91,96791.4,96662.81,96771.68,271.52
2025-01-15 12:00:00,96771.68,96796.52,96629.32,96629.32,286.45
2025-01-15 12:15:00,96629.32,96648.73,96549.27,96601.46,242.85
2025-01-15 12:30:00,96601.46,97202.2,96585.02,97109.5,381.53
2025-01-15 12:45:00,97109.5,97109.5,96909.74,96952.42,244.5
2025-01-15 13:00:00,96952.42,97085.09,96935.92,96953.84,325.16
2025-01-15 13:15:00,96953.84,97342.5,96861.89,97296.11,389.68
2025-01-15 13:30:00,97296.11,98690.88,97289.06,98521.24,2542.6
